# fingerprint file for http/default_scanner
# RE: 0 (none) 1 (yes/basic) 2 (yes/case insensitive) 3 (multiple entries) 4 (yes/basic/negated)
# server, RE?, Realm, RegExp?, path/file, RE?, title, RE?, body, RE?, Name, Variant Number
^Apache,1,NA,0,/appmng/portal/portal.jsf,1,,0,NA,0,Websense,1
^Apache,1,NA,0,NA,0,Index of,1,NA,0,Apache No Index,1
^Apache,1,NA,0,NA,0,WebDVR,0,NA,0,Bosch WebDVR,1
^Apache,1,NA,0,NA,0,LinkStation\s\-\s,1,NA,0,Buffalo LinkStation,1
^Apache,1,NA,0,/cgi-bin/pcast.cgi,0,NA,0,\<meta name\=\x22Author\x22 content\=\x22BUFFALO INC\.\x22\>,2,Buffalo PCAST media server,1
^Apache,1,NA,0,NA,0,TeraStation PRO\s\-,1,NA,0,Buffalo TeraStation Pro,1
^Apache,1,NA,0,NA,0,TeraStation,0,NA,0,Buffalo TeraStation,1
^Apache,1,NA,0,NA,0,Wireless Control System,0,NA,0,Cisco Wireless Control System,1
^Apache,1,NA,0,NA,0,NA,0,<html><body><h1>It works!</h1></body></html>,0,Default Apache web page,1
^Apache,1,NA,0,NA,0,test page[\s|\S]*apache\s,2,NA,0,Default Apache web page,1
^Apache,1,NA,0,NA,0,It works,2,NA,0,Default Apache web page,1
^Apache,1,NA,0,NA,0,Mac OS X Server,1,Welcome to your website,1,Default OSX Apache web page,1
^Apache,1,NA,0,NA,0,dell\s-\s\S+\slogin\sscreen,2,NA,0,Dell ILOM,1
^Apache,1,NA,0,NA,0,Remote Access Controller,1,NA,0,Dell Remote Access Controller,2
^Apache,1,NA,0,EZManager\.html,1,NA,0,NA,0,FabricOS Switch Explorer,1
^Apache,1,NA,0,switchExplorer\.html,1,NA,0,NA,0,FabricOS Switch Explorer,1
^Apache,1,NA,0,NA,0,switch\s*explorer,2,NA,0,FabricOS Switch Explorer,1
^Apache,1,NA,0,NA,0,Google Earth API Sample,0,NA,0,Google Earth Appliance,1
^Apache,1,NA,0,NA,0,designjet,2,NA,0,HP DesignJet Printer,1
^Apache,1,NA,0,NA,0,designjet (\d+),2,NA,0,HP DesignJet Printer,2
^Apache,1,NA,0,/hp/device/webAccess/jsDisabled.htm,0,Javascript disabled,0,NA,0,HP DesignJet Printer,2
^Apache,1,NA,0,\/unsec-cgi-bin\/unsec_login,2,NA,0,NA,0,Intuity Audix PBX,1
^Apache,1,NA,0,NA,0,INTUITY AUDIX,1,NA,0,Intuity Audix PBX,1
^Apache,1,NA,0,NA,0,Iomega NAS Manager,0,\/bootup\/welcome.html,1,IOMega NAS,1
^Apache,1,NA,0,NA,0,Iomega NAS Manager,0,NA,0,IOMega NAS,2
^Apache,1,NA,0,NA,0,,0,MultiAccess\&trade; Communications Server,1,Multitech MultiAccess Communications Server,1
^Apache,1,NA,0,\/dfm\/report\/view\/suite,1,Licensed Software Components,1,NA,0,NetApp Operations Manager,1
^Apache,1,NA,0,/shares/,0,My Shares,0,NA,0,Netgear ReadyNAS,1
