# fingerprint file for http/default_scanner
# RE: 0 (none) 1 (yes/basic) 2 (yes/case insensitive) 3 (multiple entries) 4 (yes/basic/negated)
# server, RE?, Realm, RegExp?, path/file, RE?, title, RE?, body, RE?, Name
PRINT_SERVER WEB ,1,NA,0,NA,0,NETGEAR Print Server,1,NA,0,Netgear Print Server
\$ProjectRevision\: \d+,1,web management,4,NA,0,^\w\w\-\w{1\x2c2}\d{1\x2c3},1,NA,0,Sharp Printer 1
\$ProjectRevision\: \d+,1,web management,4,NA,0,INDEX PAGE,1,NA,0,Sharp Printer 1
\$ProjectRevision\: \d+,1,web management,4,NA,0,\w\w\d\d\d\d,1,NA,0,Imagistics Copier
\$ProjectRevision\: \d+,1,web management,4,NA,0,401 Not Authorized,1,NA,0,Imagistics Copier
\$ProjectRevision\: \d+,1,web management,4,NA,0,\s-\s\w\w\-\d\d\d\d\w,1,NA,0,Sharp Printer 2
\$ProjectRevision\: \d+,1,web management,4,NA,0,TOP PAGE,1,NA,0,Sharp Printer 3
\$ProjectRevision\: \d+,1,web management,4,NA,0,DigitalSender,1,NA,0,HP Scanner 1
\$ProjectRevision\: \d+,1,web management,4,NA,0,NA,0,NA,0,HP Printer 2
RAC_ONE_HTTP,1,NA,0,NA,0,Remote Access Controller,1,NA,0,Dell Remote Access Controller
Rapid\s\x2aLogic\/,1,NA,0,NA,0,switch\s\x2aexplorer,2,NA,0,FabricOS Switch Explorer
Rapid\s\x2aLogic\/,1,NA,0,NA,0,Fabric View,0,NA,0,FabricOS Switch Explorer
Rapid\s\x2aLogic\/,1,web management,4,NA,0,VBrick Integrated Web Server,2,NA,0,VBrick IWS VTC
Rapid\s\x2aLogic\/,1,web management,4,NA,0,^\w\w\-\w{1\x2c2}\d{1\x2c3},1,NA,0,Sharp Printer 1
Rapid\s\x2aLogic\/,1,web management,4,NA,0,INDEX PAGE,1,NA,0,Sharp Printer 1
Rapid\s\x2aLogic\/,1,web management,4,NA,0,\w\w\d\d\d\d,1,NA,0,Imagistics Copier
Rapid\s\x2aLogic\/,1,web management,4,NA,0,401 Not Authorized,1,NA,0,Imagistics Copier
Rapid\s\x2aLogic\/,1,web management,4,NA,0,\s-\s\w\w\-\d\d\d\d\w,1,NA,0,Sharp Printer 2
Rapid\s\x2aLogic\/,1,web management,4,NA,0,TOP PAGE,1,NA,0,Sharp Printer 3
Rapid\s\x2aLogic\/,1,web management,4,NA,0,DigitalSender,1,NA,0,HP Scanner 1
Rapid\s\x2aLogic\/,1,web management,4,NA,0,NA,0,NA,0,HP Printer 2
RapidLogic,1,NA,0,NA,0,Fabric View,0,NA,0,FabricOS Switch Explorer
^RMC Webserver\s,1,NA,0,NA,0,NA,0,NA,0,Dell Remote Access Controller
Rockpile Web Server,1,NA,0,NA,0,Device Information,1,NA,0,Cisco IP Phone
RTXCweb Software,1,index.htm,1,NA,0,,0,NA,0,Multitech VOIP Gateway
RTXCweb Software,1,NA,0,NA,0,title_string,1,NA,0,Multitech VOIP Phone
Schneider-WEB\/,1,NA,0,NA,0,NA,0,NA,0,Schneider Automation Web Server 2
SHTTPD Ver 1.2,0,NA,0,NA,0,TrippLite,0,NA,0,Tripp Lite
^Slinger,1,NA,0,NA,0,NA,0,NA,0,Panasonic WebDVR
Snap\sAppliances?\x2c\sInc\.,1,NA,0,NA,0,NA,0,NA,0,SNAP Storage
sonicwall,2,NA,0,NA,0,sonicwall\s\-\sauthentication,2,NA,0,SonicWall Firewall
spyglass[\s|\_]microserver,2,NA,0,NA,0,NA,0,copyright\s\S+\s\d+\sxerox\s,2,Xerox WorkCentre MFD 1
spyglass[\s|\_]microserver,2,NA,0,NA,0,NA,0,copyright\S+\sxerox\scorporation\s\d{4\x2c},2,Xerox WorkCentre MFD 1
spyglass[\s|\_]microserver,2,NA,0,NA,0,CentreWare Internet Services Printer Management Software ,0,NA,0,Xerox WorkCentre MFD 1
spyglass[\s|\_]microserver,2,NA,0,NA,0,PhaserLink\sPrinter\sManagement,1,NA,0,Tetronix Printer
Sun-ILOM-Web-Server,1,NA,0,NA,0,NA,0,NA,0,Sun ILOM
Synaccess,1,NA,0,NA,0,NA,0,NA,0,Synaccess Remote Power Management
thttpd,2,NetBotz Appliance,0,NA,0,,0,NA,0,APC NetBotz Environmental Monitoring
thttpd,2,^air,2,NA,0,NA,0,NA,0,Cisco WAP
thttpd,2,NA,0,NA,0,NA,0,NA,0,Cisco Network Device
TOSHIBA,1,NA,0,TopAccess,1,NA,0,NA,0,Toshiba TopAccess MFD
^Twisted,1,NA,0,NA,0,Sign in -- Sage,0,NA,0,Sage Worksheet
^Ubicom,1,NA,0,NA,0,NA,0,NA,0,Unknown Video Projector
Unknown,0,NA,0,NA,0,Login Banner,0,NA,0,McData SanPilot
UPS_Server\/,1,NA,0,NA,0,UPS Properties,1,NA,0,MGE UPS
Viavideo-Web,0,NA,0,NA,0,\x22 + mfr + \x22 \x22 + sysname + \x22 \x22 + ip + \x22,0,NA,0,Polycom VTC 2
Viavideo-Web,0,NA,0,NA,0,Web Interface,1,NA,0,Polycom VTC 2
VCS-VideoJet-Webserver,0,NA,0,NA,0,^PelcoNet,1,NA,0,Pelco WebDVR
